Date,Open,High,Low,Close,Volume,Market.Cap,Coin,Delta
23-Jan-18,"1,623.14","1,700.34","1,504.72","1,621.46","578,984,000","27,473,700,000",BCH,0.275949724
22-Jan-18,"1,794.46","1,815.42","1,525.50","1,621.92","681,350,000","30,370,200,000",BCH,0.175170259
21-Jan-18,"2,033.70","2,033.70","1,733.99","1,776.64","745,179,000","34,415,500,000",BCH,0.027892271
20-Jan-18,"1,784.26","2,124.45","1,780.45","2,032.12","1,116,240,000","30,191,500,000",BCH,-0.012587336
19-Jan-18,"1,740.17","1,870.78","1,723.87","1,769.62","743,247,000","29,442,200,000",BCH,-0.080636667
18-Jan-18,"1,752.27","1,893.47","1,696.25","1,756.75","1,024,060,000","29,643,600,000",BCH,0.22832314
17-Jan-18,"1,767.58","1,875.08","1,361.02","1,748.05","1,457,730,000","29,899,500,000",BCH,-0.005776164
16-Jan-18,"2,406.86","2,406.86","1,555.97","1,772.07","1,704,030,000","40,708,800,000",BCH,0.131464642
15-Jan-18,"2,541.58","2,576.13","2,328.31","2,401.54","1,412,360,000","42,983,500,000",BCH,0.078318182
14-Jan-18,"2,687.10","2,746.61","2,490.04","2,553.32","993,310,000","45,439,500,000",BCH,-0.062875397
13-Jan-18,"2,617.66","2,850.27","2,589.03","2,685.29","1,218,570,000","44,260,300,000",BCH,-0.037258557
12-Jan-18,"2,475.90","2,648.23","2,413.33","2,620.99","1,110,220,000","41,859,100,000",BCH,0.101545337
11-Jan-18,"2,891.55","2,976.49","2,396.84","2,462.61","1,947,950,000","48,880,800,000",BCH,-0.069741597
10-Jan-18,"2,390.02","2,961.20","2,332.48","2,895.38","2,578,810,000","40,398,000,000",BCH,-0.045639277
9-Jan-18,"2,412.36","2,502.87","2,346.68","2,391.56","1,084,750,000","40,770,900,000",BCH,-0.049558273
8-Jan-18,"2,786.60","2,810.32","2,275.07","2,421.47","1,428,900,000","47,091,600,000",BCH,0.010742488
7-Jan-18,"2,784.68","3,071.16","2,730.31","2,786.88","1,444,780,000","47,054,000,000",BCH,0.08678659
6-Jan-18,"2,583.71","2,829.69","2,481.36","2,786.65","1,669,160,000","43,653,200,000",BCH,-0.018521812
5-Jan-18,"2,400.74","2,648.32","2,370.59","2,584.48","2,115,710,000","40,557,600,000",BCH,0.058524689
4-Jan-18,"2,608.87","2,610.20","2,359.30","2,430.18","5,377,260,000","44,069,100,000",BCH,0.006824307
3-Jan-18,"2,700.55","2,958.47","2,592.56","2,608.69","4,688,840,000","45,613,300,000",BCH,-0.118004969
2-Jan-18,"2,434.50","2,867.14","2,434.50","2,711.00","1,831,230,000","41,114,800,000",BCH,-0.046256716
1-Jan-18,"2,534.82","2,534.86","2,389.52","2,432.54","922,813,000","42,804,800,000",BCH,-0.05824961
31-Dec-17,"2,376.96","2,627.95","2,350.03","2,533.01","1,300,820,000","40,134,900,000",BCH,0.10453802
30-Dec-17,"2,791.55","2,791.55","2,329.47","2,392.41","1,257,760,000","47,129,800,000",BCH,-0.038390453
29-Dec-17,"2,587.30","2,922.41","2,389.04","2,779.95","2,479,420,000","43,677,000,000",BCH,-0.002028017
28-Dec-17,"2,888.64","2,896.78","2,481.30","2,566.64","3,221,300,000","48,758,700,000",BCH,0.293020434
27-Dec-17,"3,108.32","3,108.32","2,771.05","2,889.52","1,406,450,000","52,461,200,000",BCH,0.109143363
26-Dec-17,"2,947.74","3,112.64","2,915.80","3,108.89","1,544,430,000","49,745,700,000",BCH,-0.035886892
25-Dec-17,"2,929.35","3,099.62","2,755.60","2,954.69","1,355,440,000","49,430,800,000",BCH,0.05422925
24-Dec-17,"3,260.55","3,260.55","2,573.44","2,903.12","1,712,160,000","55,013,200,000",BCH,-0.070502399
