Date,Open,High,Low,Close,Volume,Market.Cap,Coin,Delta
23-Jan-18,189.89,200.25,174.54,188.76,"104,756,000","3,186,390,000",BTG,0.110596917
22-Jan-18,200.12,220.93,175.45,190.33,"222,920,000","3,357,640,000",BTG,0.0651
21-Jan-18,230.64,230.64,193.28,198.44,"182,217,000","3,869,280,000",BTG,0.009677094
20-Jan-18,219.16,237.61,213.79,231.13,"288,869,000","3,676,260,000",BTG,-0.002221773
19-Jan-18,193.12,242.02,191.8,217.95,"667,274,000","3,239,170,000",BTG,-0.060056174
18-Jan-18,186.79,208.26,181.69,195.4,"248,325,000","3,132,570,000",BTG,0.167704381
17-Jan-18,189.88,209.35,146.95,186.12,"347,983,000","3,184,020,000",BTG,-0.016877331
16-Jan-18,266.35,266.35,151.42,190.11,"439,330,000","4,465,810,000",BTG,0.08291724
15-Jan-18,276.37,332.56,264.7,267.68,"1,689,000,000","4,633,360,000",BTG,0.109536476
14-Jan-18,339.06,382.89,272.1,275.86,"851,848,000","5,683,570,000",BTG,-0.065722333
13-Jan-18,220.42,366.11,220.1,330.13,"1,160,490,000","3,694,430,000",BTG,-0.068011041
12-Jan-18,211.64,224.58,207.13,220.55,"113,420,000","3,546,910,000",BTG,0.029364235
11-Jan-18,242.69,243.88,206.56,210.93,"122,452,000","4,066,710,000",BTG,-0.098161488
10-Jan-18,240.88,243.36,223.43,243.36,"131,618,000","4,035,920,000",BTG,-0.084309363
9-Jan-18,239.06,252.67,227.77,240.9,"152,475,000","4,005,020,000",BTG,-0.075211704
8-Jan-18,302.28,307.44,217.72,239.55,"164,036,000","5,063,530,000",BTG,0.019781994
7-Jan-18,299.6,335.84,292.49,302.25,"203,684,000","5,018,030,000",BTG,0.073015661
6-Jan-18,277.45,300.38,273.82,300.38,"172,099,000","4,646,530,000",BTG,-0.039934513
5-Jan-18,274.58,294.79,266.55,277.44,"175,165,000","4,598,030,000",BTG,0.023986331
4-Jan-18,272.43,280.12,258.89,273.76,"136,988,000","4,561,520,000",BTG,0.034994734
3-Jan-18,276.12,281.97,267.18,270.24,"106,643,000","4,622,800,000",BTG,-0.103187614
2-Jan-18,275.42,284.96,270.83,277.08,"117,571,000","4,610,460,000",BTG,-0.082313001
1-Jan-18,261.63,297.17,255.76,272.9,"143,836,000","4,379,180,000",BTG,-0.029526176
31-Dec-17,250.12,267.88,249.06,261.72,"78,952,100","4,186,100,000",BTG,0.031119982
30-Dec-17,281.12,281.62,248.57,251.51,"96,001,300","4,704,380,000",BTG,-0.09643691
29-Dec-17,285.77,291.3,267.74,280.58,"114,615,000","4,781,710,000",BTG,0.332950127
28-Dec-17,318.78,318.78,274.29,284.34,"134,169,000","5,333,490,000",BTG,0.213414886
27-Dec-17,307.59,330.97,300.93,317.88,"135,077,000","5,145,590,000",BTG,-0.085017791
26-Dec-17,305.83,316.28,299.03,307.29,"110,025,000","5,115,710,000",BTG,0.065218258
25-Dec-17,307.49,312,295.27,309.33,"104,619,000","5,142,770,000",BTG,0.748298817
24-Dec-17,334.55,334.55,289.77,305.22,"144,898,000","5,594,770,000",BTG,-0.124072042
23-Dec-17,308.76,354.89,306,334.56,"217,778,000","5,162,850,000",BTG,0.01737767
22-Dec-17,416.44,416.75,259.88,305.73,"313,313,000","6,962,700,000",BTG,0.09563964
21-Dec-17,449.75,460.87,369.17,406.77,"352,178,000","7,518,780,000",BTG,-0.130289739
