Date,Open,High,Low,Close,Volume,Market.Cap,Coin,Delta
23-Jan-18,763.13,796.99,692.94,757.34,"110,265,000","5,978,460,000",DASH,0.018540295
22-Jan-18,825.69,847.58,710.57,763.2,"100,651,000","6,466,930,000",DASH,0.05130792
21-Jan-18,928.13,930.18,802.42,818.27,"109,775,000","7,267,440,000",DASH,0.090102611
20-Jan-18,853.05,959.04,848.98,926.12,"162,376,000","6,677,870,000",DASH,0.111282484
19-Jan-18,833.3,875.41,805.67,846.17,"126,837,000","6,521,630,000",DASH,-0.045371666
18-Jan-18,800.02,892,760.48,835.49,"172,729,000","6,259,570,000",DASH,0.064351229
17-Jan-18,758.29,827.18,619.58,793.57,"197,477,000","5,931,600,000",DASH,-0.041231541
16-Jan-18,937.57,937.57,644.54,759.62,"273,462,000","7,332,160,000",DASH,0.216812888
15-Jan-18,"1,006.43","1,030.90",939.19,939.19,"179,247,000","7,868,670,000",DASH,0.111611357
14-Jan-18,"1,098.06","1,110.54",996.49,"1,014.07","168,878,000","8,582,900,000",DASH,-0.047785628
13-Jan-18,"1,054.88","1,125.29","1,054.88","1,100.26","174,387,000","8,243,350,000",DASH,-0.005538453
12-Jan-18,"1,013.06","1,069.42",982.91,"1,054.87","142,442,000","7,914,550,000",DASH,0.037092539
11-Jan-18,"1,103.03","1,110.68",973.07,"1,007.88","176,591,000","8,615,280,000",DASH,-0.002985757
10-Jan-18,"1,115.48","1,117.33","1,041.39","1,106.36","231,944,000","8,710,310,000",DASH,-0.07399373
9-Jan-18,"1,085.75","1,134.49","1,055.21","1,111.86","220,569,000","8,476,040,000",DASH,-0.023686283
8-Jan-18,"1,283.36","1,320.28","1,007.55","1,087.75","215,239,000","10,016,200,000",DASH,0.004464228
7-Jan-18,"1,266.43","1,394.28","1,266.43","1,285.43","230,576,000","9,881,510,000",DASH,-0.012712191
6-Jan-18,"1,157.09","1,279.47","1,147.49","1,265.03","215,058,000","9,026,110,000",DASH,-0.024401554
5-Jan-18,"1,221.63","1,273.36","1,151.11","1,152.41","237,504,000","9,527,170,000",DASH,0.01277509
4-Jan-18,"1,173.71","1,316.86","1,097.56","1,229.79","284,845,000","9,151,080,000",DASH,0.155330113
3-Jan-18,"1,208.84","1,216.57","1,144.69","1,170.74","175,843,000","9,422,640,000",DASH,0.081643407
2-Jan-18,"1,055.14","1,241.70","1,055.14","1,217.72","257,110,000","8,218,420,000",DASH,-0.00951869
1-Jan-18,"1,054.07","1,072.42","1,016.57","1,053.98","138,567,000","8,207,990,000",DASH,0.017950576
31-Dec-17,"1,002.99","1,093.39",985.1,"1,051.68","154,690,000","7,808,250,000",DASH,-0.030929442
30-Dec-17,"1,147.48","1,147.48",948.24,"1,011.47","184,834,000","8,930,900,000",DASH,0.135124171
29-Dec-17,"1,165.88","1,187.55","1,070.62","1,147.95","195,177,000","9,071,760,000",DASH,0.004057837
28-Dec-17,"1,188.51","1,188.67","1,063.81","1,160.57","190,296,000","9,245,510,000",DASH,-0.018310957
27-Dec-17,"1,227.95","1,255.25","1,163.47","1,189.89","211,339,000","9,549,870,000",DASH,0.169961193
26-Dec-17,"1,173.71","1,227.72","1,169.34","1,222.83","231,985,000","9,125,790,000",DASH,-0.012054214
25-Dec-17,"1,190.53","1,235.22","1,162.45","1,175.89","195,124,000","9,254,180,000",DASH,0.100694523
24-Dec-17,"1,286.73","1,286.73","1,090.21","1,184.69","230,643,000","9,999,390,000",DASH,-0.028658644
23-Dec-17,"1,198.74","1,362.96","1,160.04","1,275.50","327,129,000","9,313,260,000",DASH,0.071615412
22-Dec-17,"1,441.90","1,452.45",864.37,"1,179.01","510,588,000","11,199,600,000",DASH,0.010437718
21-Dec-17,"1,555.59","1,622.26","1,371.39","1,434.82","476,900,000","12,079,600,000",DASH,-0.01491131
20-Dec-17,"1,184.92","1,642.22","1,167.30","1,550.85","816,872,000","9,198,860,000",DASH,-0.008573164
