Date,Open,High,Low,Close,Volume,Market.Cap,Coin,Delta
23-Jan-18,315.31,321.7,285.61,308.46,"116,898,000","4,929,480,000",XMR,-0.010050647
22-Jan-18,348.91,356.04,288.79,315.9,"116,893,000","5,453,550,000",XMR,0.080550599
21-Jan-18,384.53,389.11,336.01,345.08,"126,395,000","6,008,720,000",XMR,0.071054075
20-Jan-18,367.64,403.49,358.77,383.79,"240,595,000","5,743,450,000",XMR,0.047055436
19-Jan-18,314.13,367.96,309.54,364.62,"199,852,000","4,906,340,000",XMR,-0.0408157
18-Jan-18,320.6,347.11,303.35,316.47,"152,851,000","5,005,990,000",XMR,0.072380136
17-Jan-18,318.93,332.12,240.36,319.19,"192,937,000","4,978,850,000",XMR,-0.005464659
16-Jan-18,415.93,418.99,261.2,320.04,"283,036,000","6,491,450,000",XMR,0.09442609
15-Jan-18,396.02,444.34,392.37,414.57,"264,782,000","6,179,110,000",XMR,0.141743213
14-Jan-18,420.34,444.01,384.31,399.52,"180,678,000","6,556,930,000",XMR,-0.066831495
13-Jan-18,393.04,433.35,393.04,420.05,"248,705,000","6,129,540,000",XMR,-0.053161179
12-Jan-18,358.62,394.78,347.32,394.78,"158,189,000","5,591,320,000",XMR,-0.016245423
11-Jan-18,406.08,415.9,346.69,355.59,"187,722,000","6,329,790,000",XMR,0.010760428
10-Jan-18,413.25,419.07,370.52,407.74,"265,152,000","6,439,820,000",XMR,0.039267601
9-Jan-18,403.71,447.61,398.53,413.33,"522,438,000","6,289,410,000",XMR,0.276370009
8-Jan-18,458.35,469.71,357.54,405.07,"220,924,000","7,139,010,000",XMR,0.053517739
7-Jan-18,456.15,495.84,453.39,459.33,"262,443,000","7,103,000,000",XMR,-0.016324925
6-Jan-18,385.37,452.77,380.21,452.77,"235,391,000","5,999,260,000",XMR,0.063931248
5-Jan-18,402.38,407.04,373.89,384.94,"182,618,000","6,262,550,000",XMR,0.062430447
4-Jan-18,414.41,419.72,383.54,403.05,"166,108,000","6,448,110,000",XMR,0.05660156
3-Jan-18,382.74,418.26,378.86,412.06,"180,190,000","5,953,920,000",XMR,-0.175371487
2-Jan-18,359.06,387.79,359.06,383.42,"224,769,000","5,582,210,000",XMR,0.158882236
1-Jan-18,349.55,363.79,336.98,358.99,"110,244,000","5,434,340,000",XMR,0.06426467
31-Dec-17,329,356.77,327.41,349.03,"101,667,000","5,113,910,000",XMR,-0.030847719
30-Dec-17,378.52,378.52,319.61,330.8,"140,463,000","5,882,180,000",XMR,0.05275
29-Dec-17,381.3,387.56,358.07,377.37,"173,825,000","5,921,340,000",XMR,0.008889169
28-Dec-17,422.51,422.51,359.49,378.9,"162,717,000","6,561,210,000",XMR,-0.045150804
27-Dec-17,381.3,442.6,381.3,421.85,"250,742,000","5,920,710,000",XMR,0.168003941
26-Dec-17,361.09,384.77,357.27,381.54,"161,342,000","5,605,310,000",XMR,0.041440118
25-Dec-17,339.69,365.87,323.2,360.78,"119,632,000","5,271,820,000",XMR,0.048339768
24-Dec-17,391.02,391.02,297.09,337.06,"134,675,000","6,062,810,000",XMR,-0.009485924
23-Dec-17,349.76,417.65,344.38,382.04,"190,117,000","5,423,160,000",XMR,0.033256971
22-Dec-17,419.53,423.42,255.67,346.11,"334,617,000","6,504,920,000",XMR,0.05565739
21-Dec-17,470.29,470.29,390.55,417.98,"354,021,000","7,291,030,000",XMR,-0.007670736
20-Dec-17,375.71,476.4,329.95,469.2,"498,648,000","5,823,300,000",XMR,-0.007117147
12/19/2017,381.07,406.03,346.94,377.24,"317,292,000","5,904,690,000",XMR,-0.010273419
12/18/2017,353.07,381.51,332.09,381.51,"217,306,000","5,469,410,000",XMR,-0.043114144
12/17/2017,328.06,365.24,327.27,351.37,"278,705,000","5,078,920,000",XMR,0.035618729
12/16/2017,312.61,331.54,311.71,327.32,"164,861,000","4,839,760,000",XMR,0.131158392
12/15/2017,325.61,326.08,296.08,312.32,"163,054,000","5,039,870,000",XMR,-0.12980056
12/14/2017,303.26,335.53,301.4,325.21,"261,053,000","4,692,810,000",XMR,0.073313783
12/13/2017,307.43,330.35,284.74,305.75,"248,583,000","4,749,580,000",XMR,0.135143258
12/12/2017,281.49,319.9,281.19,308.07,"271,786,000","4,348,820,000",XMR,-0.042885925
12/11/2017,244.95,281.03,244.14,279.67,"152,497,000","3,784,310,000",XMR,0.190928026
12/10/2017,262.9,262.9,220.77,245.33,"142,120,000","4,061,590,000",XMR,-0.010995304
12/9/2017,277.27,281.4,250.39,262.53,"161,152,000","4,283,550,000",XMR,-0.006825939
12/8/2017,281.31,284.86,250.65,276.74,"201,497,000","4,346,000,000",XMR,0.05339399
12/7/2017,277.87,300.32,263.17,280.86,"299,528,000","4,291,850,000",XMR,-0.022180714
12/6/2017,268.16,316.67,260.61,278.69,"543,884,000","4,140,770,000",XMR,-0.022019395
12/5/2017,211.13,272.64,208.89,269.48,"352,326,000","3,258,360,000",XMR,-0.012507042
12/4/2017,199.56,210.24,192.04,210.24,"74,534,400","3,079,850,000",XMR,0.002821989
12/3/2017,203.37,209.09,191.25,200.05,"111,303,000","3,137,680,000",XMR,0.027587806
